bin,encoder_phase_counts,detrended_error_arcsec
2.440000000000000000e+02,7.995391999999999825e+04,1.797398780601005086e+01
2.450000000000000000e+02,8.028160000000000582e+04,1.853121551405948964e+01
2.460000000000000000e+02,8.060927999999999884e+04,1.989446241358933065e+01
2.470000000000000000e+02,8.093696000000000640e+04,2.132504099721453272e+01
2.480000000000000000e+02,8.126463999999999942e+04,2.153418514400744854e+01
2.490000000000000000e+02,8.159232000000000698e+04,2.137711036450228264e+01
2.500000000000000000e+02,8.192000000000000000e+04,2.145612057735692701e+01
2.510000000000000000e+02,8.224768000000000757e+04,2.283823964419643815e+01
2.520000000000000000e+02,8.257536000000000058e+04,2.424178393253727037e+01
2.530000000000000000e+02,8.290304000000000815e+04,2.453686286813638162e+01
2.540000000000000000e+02,8.323072000000000116e+04,2.423384969226680141e+01
2.550000000000000000e+02,8.355840000000000873e+04,2.429666592946805892e+01
2.560000000000000000e+02,8.388608000000000175e+04,2.523037761296662396e+01
2.570000000000000000e+02,8.421375999999999476e+04,2.644897539767832129e+01
2.580000000000000000e+02,8.454144000000000233e+04,2.626103144514221910e+01
2.590000000000000000e+02,8.486911999999999534e+04,2.579643551031101723e+01
2.600000000000000000e+02,8.519680000000000291e+04,2.598177669538587864e+01
2.610000000000000000e+02,8.552447999999999593e+04,2.754494037225533631e+01
2.620000000000000000e+02,8.585216000000000349e+04,2.874520264122891078e+01
2.630000000000000000e+02,8.617983999999999651e+04,2.850191414566142001e+01
2.640000000000000000e+02,8.650752000000000407e+04,2.812120014574423976e+01
2.650000000000000000e+02,8.683519999999999709e+04,2.832108343373299775e+01
2.660000000000000000e+02,8.716288000000000466e+04,2.997076271786040635e+01
2.670000000000000000e+02,8.749055999999999767e+04,3.111317742993673008e+01
2.680000000000000000e+02,8.781824000000000524e+04,3.070684913744457845e+01
2.690000000000000000e+02,8.814591999999999825e+04,3.010126903418529309e+01
2.700000000000000000e+02,8.847360000000000582e+04,3.066460504547991306e+01
2.710000000000000000e+02,8.880127999999999884e+04,3.228848141787625536e+01
2.720000000000000000e+02,8.912896000000000640e+04,3.310848117908215471e+01
2.730000000000000000e+02,8.945663999999999942e+04,3.215110397414505172e+01
2.740000000000000000e+02,8.978432000000000698e+04,3.112729627266955390e+01
2.750000000000000000e+02,9.011200000000000000e+04,3.132987563311667145e+01
2.760000000000000000e+02,9.043968000000000757e+04,3.255919442720234969e+01
2.770000000000000000e+02,9.076736000000000058e+04,3.319394988482667230e+01
2.780000000000000000e+02,9.109504000000000815e+04,3.267884824382505826e+01
2.790000000000000000e+02,9.142272000000000116e+04,3.171575799045953659e+01
2.800000000000000000e+02,9.175040000000000873e+04,3.204055476715680584e+01
2.810000000000000000e+02,9.207808000000000175e+04,3.366526283874598136e+01
2.820000000000000000e+02,9.240575999999999476e+04,3.418942734582554976e+01
2.830000000000000000e+02,9.273344000000000233e+04,3.343819492316722375e+01
2.840000000000000000e+02,9.306111999999999534e+04,3.215384958616932209e+01
2.850000000000000000e+02,9.338880000000000291e+04,3.196781590667320572e+01
2.860000000000000000e+02,9.371647999999999593e+04,3.343463878496255148e+01
2.870000000000000000e+02,9.404416000000000349e+04,3.411471213145701853e+01
2.880000000000000000e+02,9.437183999999999651e+04,3.386903751778899618e+01
2.890000000000000000e+02,9.469952000000000407e+04,3.315604254731936607e+01
2.900000000000000000e+02,9.502719999999999709e+04,3.337016671389438471e+01
2.910000000000000000e+02,9.535488000000000466e+04,3.488224142873652767e+01
2.920000000000000000e+02,9.568255999999999767e+04,3.555915574033348747e+01
2.930000000000000000e+02,9.601024000000000524e+04,3.518017459367937505e+01
2.940000000000000000e+02,9.633791999999999825e+04,3.455442390053806889e+01
2.950000000000000000e+02,9.666560000000000582e+04,3.466050386752753099e+01
2.960000000000000000e+02,9.699327999999999884e+04,3.529904268043146232e+01
2.970000000000000000e+02,9.732096000000000640e+04,3.528723136304393648e+01
2.980000000000000000e+02,9.764863999999999942e+04,3.439143820905962201e+01
2.990000000000000000e+02,9.797632000000000698e+04,3.322460595818830598e+01
